"id","rss_feed"
"148","http://www.prooffreader.com/feeds/posts/default"
"149","http://prooffreaderplus.blogspot.ca/feeds/posts/default"
"150","http://www.sumsar.net/atom.xml"
"151","http://feeds.feedburner.com/Pyimagesearch"
"152","http://jakevdp.github.com/atom.xml"
"153","http://rdatamining.wordpress.com/feed/"
"154","http://feeds.feedburner.com/RBloggers"
"155","http://ramiro.org/notebook/rss.xml"
"156","http://randyzwitch.com/category/data-science/feed/"
"157","http://rare-technologies.com/feed/"
"158","http://rayli.net/blog/feed/"
"159","http://blog.revolutionanalytics.com/atom.xml"
"160","http://rinuboney.github.io/feed.xml"
"161","http://rnduja.github.io/feed.xml"
"162","https://medium.com/feed/@rchang"
"163","https://codesachin.wordpress.com/feed/"
"164","https://medium.com/feed/@samim"
"165","http://seanjtaylor.com/rss"
"166","http://sebastianraschka.com/rss_feed.xml"
"167","http://sebastianruder.com/rss/"
"168","http://www.nowozin.net/sebastian/blog/feeds/all.atom.xml"
"169","http://blog.shakirm.com/feed/"
"170","http://simplystatistics.org/feed/"
"171","http://stiglerdiet.com/feeds/all.atom.xml"
"172","http://multithreaded.stitchfix.com/feed.xml"
"173","http://datastories.quora.com/rss"
"174","http://feeds.feedburner.com/StreamHacker"
"175","http://feeds.feedburner.com/advanalytics"
"176","http://swanintelligence.com/feeds/all.rss.xml"
"177","http://blogs.technet.com/b/machinelearning/rss.aspx"
"178","http://technocalifornia.blogspot.com/feeds/posts/default"
"179","http://blog.aylien.com/rss"
"180","http://angrystatistician.blogspot.com/feeds/posts/default"
"181","http://theclevermachine.wordpress.com/feed/"
"182","http://blog.datacamp.com/feed/"
"183","http://blog.thedataincubator.com/feed/"
"184","http://datasciencelab.wordpress.com/feed/"
"185","http://nicebrain.wordpress.com/feed/"
"186","http://www.martingoodson.com/rss/"
"187","https://shapeofdata.wordpress.com/feed/"
"188","http://www.unofficialgoogledatascience.com/feeds/posts/default"
"189","http://www.computervisionblog.com/feeds/posts/default"
"190","http://trevorstephens.com/rss"
"191","http://treycausey.com/feeds/all.atom.xml"
"192","http://datasciencedegree.wisconsin.edu/feed/"
"193","http://wellecks.wordpress.com/feed/"
"194","http://wesmckinney.com/blog/feed/"
"195","http://twiecki.github.io/atom.xml"
"196","http://www.wildml.com/feed/"
"197","http://rinzewind.org/feed-en"
"198","http://www.willmcginnis.com/feed/"
"199","http://www.lyonwj.com/atom.xml"
"200","https://github.com/rushter/data-science-blogs/blob/master/www.win-vector.com/blog/feed"
"201","http://yanirseroussi.com/feed/"
"202","http://zacstewart.com/feed.xml"
"203","http://blog.yhathq.com/rss.xml"
"204","http://outlace.com/feed.xml"
"205","http://blog.otoro.net/feed/"
"206","http://brooksandrew.github.io/simpleblog/feed.xml"
"207","http://mourafiq.com/atom.xml"
"208","http://building-babylon.net/feed/"
"209","http://travelbythenumbers.com/feed/"
"210","http://www.benfrederickson.com/atom.xml"
"211","http://dsguide.biz/reader/feeds/posts"
"212","http://flowingdata.com/feed"
"213","http://radar.oreilly.com/feed"
"214","http://fivethirtyeight.com/features/feed/"
"215","http://junkcharts.typepad.com/numbersruleyourworld/rss.xml"
"217","http://datamining.typepad.com/data_mining/rss.xml"
"218","http://www.kdnuggets.com/feed/"
"226","https://mathbabe.org/feed/"
"227","https://petewarden.com/feed/"
"228","http://blog.yhat.com/rss.xml"
"231","http://dataconomy.com/feed/"
"233","http://www.predictiveanalyticsworld.com/blog/feed/"
"236","https://blog.dominodatalab.com/feed/"
"238","https://dataaspirant.com/feed/"
"239","https://wellecks.wordpress.com/feed/"
"244","http://www.confluent.io/blog/rss.xml"
"245","http://thomaslarock.com/feed/"
"250","http://danielnee.com/feed/"
"251","http://randyzwitch.com/feed/"
